key,name,pos,team,bye,std,half_ppr,ppr
harry_WR_CHI,N'Keal Harry,WR,CHI,14,281.0,325.0,328.0
kumerow_WR_BUF,Jake Kumerow,WR,BUF,7,282.0,330.0,331.0
fortson_WR_KC,Jody Fortson,WR,KC,8,283.0,327.0,330.0
funk_RB_LAR,Jake Funk,RB,LAR,7,286.0,333.0,333.0
goodwin_WR_SEA,Marquise Goodwin,WR,SEA,11,288.0,336.0,335.0
bears_DST_CHI,Bears,DST,CHI,14,314.5,375.0,282.5
cephus_WR_DET,Quintez Cephus,WR,DET,6,294.0,,263.0
patterson_RB_WSH,Jaret Patterson,RB,WSH,14,296.0,354.0,360.0
agholor_WR_NE,Nelson Agholor,WR,NE,10,297.0,339.0,307.5
parham_TE_LAC,Donald Parham Jr.,TE,LAC,8,300.0,,283.0
pascal_WR_PHI,Zach Pascal,WR,PHI,7,301.0,342.0,343.0
minshew_QB_PHI,,,,,302.0,,
zuerlein_K_NYJ,Greg Zuerlein,K,NYJ,10,305.0,250.0,296.0
jennings_WR_SF,Jauan Jennings,WR,SF,9,308.0,302.0,293.3
crosby_K_GB,Mason Crosby,K,GB,14,312.0,241.7,246.3
lindsay_RB_IND,Phillip Lindsay,RB,IND,14,312.0,238.0,245.5
commanders_DST_WSH,Commanders,DST,WSH,14,314.0,271.0,233.0
snell_RB_PIT,,,,,314.0,,
tremble_TE_CAR,Tommy Tremble,TE,CAR,13,316.0,353.0,353.0
smith_WR_NO,Tre'Quan Smith,WR,NO,14,318.0,363.0,363.0
bernard_RB_TB,Giovani Bernard,RB,TB,11,328.0,364.0,313.0
arnold_TE_JAX,Dan Arnold,TE,JAX,11,321.0,362.0,364.0
jackson_RB_DET,,,,,322.0,,
johnson_RB_NYJ,Ty Johnson,RB,NYJ,10,330.0,378.0,380.0
raymond_WR_DET,Kalif Raymond,WR,DET,6,326.0,371.0,370.0
bolden_RB_LV,Brandon Bolden,RB,LV,6,328.0,373.0,322.0
bullock_K_TEN,Randy Bullock,K,TEN,6,330.0,370.0,279.0
smith_RB_NO,Abram Smith,RB,NO,14,330.0,242.0,249.0
proche_WR_BAL,James Proche II,WR,BAL,10,331.0,321.0,296.0
hill_RB_BAL,,,,,332.0,,
dallas_RB_SEA,,,,,333.0,,
philips_WR_TEN,Kyle Philips,WR,TEN,6,334.0,348.0,346.0
coleman_RB_NYJ,Tevin Coleman,RB,NYJ,10,335.0,376.0,377.0
nwangwu_RB_MIN,,,,,340.5,392.0,
perriman_WR_TB,Breshad Perriman,WR,TB,11,336.0,379.0,378.0
harty_WR_NO,Deonte Harty,WR,NO,14,338.0,382.0,382.0
shakir_WR_BUF,Khalil Shakir,WR,BUF,7,341.0,384.0,383.0
santos_K_CHI,Cairo Santos,K,CHI,14,342.0,386.0,312.5
brown_WR_WSH,,,,,343.0,387.0,
likely_TE_BAL,,,,,344.0,389.0,
forbath_K_LAR,Kai Forbath,K,LAR,7,345.0,390.0,388.0
eskridge_WR_SEA,,,,,347.0,393.0,
love_QB_GB,,,,,348.0,394.0,
corral_QB_CAR,,,,,349.0,395.0,
